id,customer_name,amount,purchase_date
5559,Laura Espinoza,85843.75,2024-08-27
5560,Jamie Sexton,NULL,2024-03-07
5561,Erica Rodriguez,32916.69,2025-01-30
5562,Paul Flores,6470.95,2024-07-13
5563,Carrie Bennett,79488.30,2023-11-03
5564,Aaron Carter,16877.09,2024-10-27
5565,Randy Williams,NULL,2025-03-20
5566,Austin Barnes,743.25,2023-08-02
5567,Jonathan Sullivan,83838.89,2024-09-15
5568,Sharon Contreras,64949.82,2025-05-23
5569,Sean Tanner,60225.65,2024-04-07
5570,Becky West,45464.20,2024-12-22
5571,Kathy Shields,21901.94,2024-05-16
5572,Heather Moreno,83055.97,2024-05-05
5573,Kara Flores,22829.65,2024-08-21
5574,Alexandra Peters,356.33,NULL
5575,Antonio Buckley,NULL,2024-11-27
5576,Daniel Rodriguez,77725.45,2024-05-23
5577,Corey Graham,51799.58,2025-05-01
5578,Dustin Whitney,32171.11,2024-04-19
5579,John Pope,69724.46,2025-02-23
5580,William Stanton,NULL,2023-11-23
5581,Laura Yang,31026.52,2024-11-08
5582,Terry Alexander,39807.23,2024-02-03
5583,Kevin Williams,29003.19,2025-04-26
5584,Sharon Wallace,45503.18,2025-06-21
5585,Jennifer Lambert,44936.37,2024-05-21
5586,Elizabeth Mueller,1008.27,2024-12-19
5587,Shelly Davis,65575.33,2023-08-10
5588,Julie Sweeney,36821.11,2025-05-26
5589,Sharon Abbott,69823.87,NULL
5590,Tyler Crawford,79356.02,2025-07-08
5591,Brian Hunter Jr.,25009.45,2024-09-17
5592,Veronica Palmer,17188.05,2023-11-25
5593,Elizabeth Evans,94982.46,2023-12-20
5594,Melissa Baker,NULL,2025-04-28
5595,Michael Thompson,97092.56,2025-02-05
5596,David Huynh,55220.51,2024-03-02
5597,Sarah Gibson,58474.80,2023-08-07
5598,Jennifer Mack,12811.69,2023-12-15
5599,Erika Johnson,29822.99,2025-04-07
5600,Thomas Goodwin,64070.77,2024-10-28
5601,Joseph Orozco,16230.23,2024-07-14
5602,Katherine Montes,65491.39,2024-04-19
5603,Wendy Mendez,96306.35,2025-01-22
5604,Daniel Robinson,NULL,2024-06-18
5605,Walter Mcdonald,NULL,2024-04-07
5606,Casey Rodriguez,64026.23,2023-11-07
5607,Chad Oliver,42877.46,2025-04-08
5608,Peter Miller,97550.76,2024-07-08
5609,Kristopher Duncan,17368.57,2024-09-09
5610,Holly Dominguez,37201.44,2024-04-29
5611,Sharon Wood,79892.43,NULL
5612,NULL,NULL,2024-08-15
5613,NULL,25199.46,2023-11-07
5614,Cheryl Hamilton,28080.71,2024-07-19
5615,Mr. Christopher Anderson,2907.29,2024-07-04
5616,Michael Stevens,42863.35,2024-02-08
5617,Stephanie Hernandez,24745.47,2025-04-26
5618,David Yoder,80420.56,2024-11-19
5619,Ana Fuller,89795.20,2024-05-20
5620,Rebecca Richmond,51221.81,2023-10-14
5621,Mrs. Amber Lozano,31006.78,2024-01-22
5622,Dr. David Stevens,NULL,2024-09-04
5623,Kim Manning,53318.48,2024-08-08
5624,Patrick Powell,12837.74,2024-04-08
5625,Michael Miller,39277.00,2025-02-23
5626,Michael Johns,65882.68,2025-06-05
5627,Christopher Barron,60894.07,2024-01-20
5628,Harry Mason,62568.59,2023-08-30
5629,Megan Lee,29488.46,2024-11-14
5630,Deborah Ramirez,NULL,2024-04-10
5631,Alan Smith,1098.42,2025-05-29
5632,Mark Smith,NULL,2024-10-25
5633,Matthew Thompson,94681.36,2025-02-04
5634,Mark Melton,65254.99,2024-04-25
5635,Ryan Fields,91436.84,2025-03-03
5636,Molly Phillips,80541.37,2025-02-15
5637,Tammy Miller,41588.78,2024-09-08
5638,Brian Williams,8685.25,2025-01-17
5639,Michael Cain,86327.98,2025-03-18
5640,Pamela Conrad,85552.64,2023-12-19
5641,James Frost,57461.66,2023-09-10
5642,Justin Frank,48184.74,2024-10-11
5643,Alexis Jackson,3082.12,2024-06-26
5644,Lisa Coleman,30682.11,2025-02-01
5645,NULL,42907.71,2024-10-18
5646,Matthew Durham,31273.87,2024-07-04
5647,Michelle Moran,77305.70,2023-11-23
5648,Angel Moore,65519.72,NULL
5649,Ann Kelly,NULL,2024-05-04
5650,Wanda Jones,NULL,2023-11-09
5651,Ashley Nguyen,39643.91,2025-07-30
5652,Benjamin Hanson,92681.20,2024-05-07
5653,Rachel Brewer,9162.12,2025-03-25
5654,Miss Erica Jones,65479.49,2024-10-08
5655,Katherine Nguyen,39608.47,2025-03-25
5656,Ashley Delgado,27335.73,2023-09-22
5657,Benjamin Garcia,NULL,2023-08-19
5658,David Chang,97136.67,2023-09-10
5659,Sarah Fuller,84255.53,2025-01-15
5660,Keith Walker,30618.15,2023-10-19
5661,Earl Ball,44693.92,NULL
5662,Mary Smith,81774.65,2023-11-04
5663,Catherine Lam,45230.23,2023-09-06
5664,Thomas Gray,53026.92,2025-03-21
5665,Kelly Holloway,9306.23,2024-07-12
5666,Jennifer Church,51620.63,2025-01-30
5667,Joe Gonzalez,47758.79,2024-05-25
5668,Nancy Frazier,64531.69,2025-03-10
5669,Vincent Townsend,19405.64,2025-06-06
5670,Robert Brown,53568.94,2024-10-24
5671,Steven Ball,NULL,2024-10-23
5672,Ashley Bond,38540.57,2024-07-27
5673,Michael Zimmerman,78588.38,2024-04-03
5674,George Jenkins,72790.97,NULL
5675,NULL,23982.86,2025-01-25
5676,Paula Evans,24712.83,2023-11-24
5677,NULL,49882.88,2024-02-23
5678,Katie Patterson,99649.10,2024-10-12
5679,NULL,89479.00,NULL
5680,Philip Taylor,71617.47,2023-09-21
5681,Carolyn Walton,28709.14,2024-06-26
5682,Colleen Fernandez,26388.99,2023-08-03
5683,John Hall,25216.55,2024-02-25
5684,Antonio Johnson,65861.28,2025-02-17
5685,Andrea Santos,28850.75,2024-11-10
5686,Joyce Hansen,NULL,2024-07-06
5687,Kelly Bennett,24732.19,2025-02-22
5688,Daniel Garcia,36265.73,2025-02-18
5689,Rebecca Coffey,56518.73,2024-01-19
5690,Jeremiah Barr,69457.57,2024-10-02
5691,NULL,92361.96,2024-04-12
5692,NULL,24104.36,2025-05-06
5693,Rebecca Flores,NULL,2023-11-27
5694,Mark Fowler,72486.26,2024-03-24
5695,Meredith Gilbert,65202.03,2025-04-04
5696,Daniel Murray,99572.14,NULL
5697,NULL,NULL,2024-08-27
5698,Corey David,92543.54,2023-09-05
5699,Charles Carter,6821.04,2024-06-26
5700,Scott King,47098.95,2023-11-03
5701,Jonathan Acosta,NULL,2024-09-20
5702,Sarah Ingram,15987.80,2024-10-09
5703,Tammy Lang,NULL,2024-07-04
5704,Eric Mcdonald,81890.56,2024-02-23
5705,Beverly Murphy,90701.52,2024-09-27
5706,NULL,NULL,2024-07-02
5707,Stephen Garcia,88243.83,2024-08-30
5708,Michael Sloan,40230.25,2025-04-29
5709,Katherine Robinson,46113.89,2023-10-04
5710,Julia Cook,89986.66,2025-04-10
5711,Caitlin Stevens,82129.87,2024-09-16
5712,Steven Nelson,54568.60,2024-01-09
5713,Joshua Welch,44441.03,2025-06-25
5714,Paul George,35524.34,2024-11-03
5715,Jacob Joseph,40572.87,2024-01-23
5716,Lauren Key,57854.81,2023-11-28
5717,Adrienne Smith,52426.60,2025-03-10
5718,Joseph Harris,47550.82,2024-08-31
5719,Justin Clark,59153.54,NULL
5720,Sean Anderson,NULL,2024-12-19
5721,William Hardy,16639.67,2025-03-02
5722,Gabriel Parker,25327.95,2024-07-24
5723,NULL,3063.40,2025-04-10
5724,Roy Miller,89623.10,2024-08-18
5725,Anna Wilson,98536.84,2025-03-19
5726,Jeffrey Sparks,72041.97,2024-11-30
5727,Janice Smith,84055.61,2025-01-03
5728,Marcus Johnson,37756.96,NULL
5729,Patrick Gonzalez,51507.61,2023-12-02
5730,Sharon Norman,85293.78,2025-04-01
5731,Thomas Marshall,44029.38,2023-12-05
5732,Daniel Cox,1635.85,2024-11-27
5733,David Nichols,90879.02,NULL
5734,Edward Garcia,91189.54,NULL
5735,Michelle Mendoza,37105.84,2024-02-04
5736,Brian Johnson,88367.36,2024-11-18
5737,Bryan Carter,63465.79,2023-08-16
5738,David Henderson,77613.28,2024-09-15
5739,Matthew Saunders,73142.07,2024-11-05
5740,Sarah Johnson,NULL,2025-02-15
5741,Kelly May,67709.78,2023-11-27
5742,Craig Clayton,41841.07,2024-08-03
5743,Christina Miller,47885.96,2025-02-04
5744,Melanie Sanchez,26121.58,2024-09-27
5745,Katie Casey,2213.98,2025-06-23
5746,Michelle Berger,46873.83,2023-09-22
5747,Zoe Parker,74470.49,2025-07-18
5748,Sarah Murphy,22452.53,2025-04-22
5749,Tiffany Ochoa,14517.88,2025-07-06
5750,Ashley Davis,6007.78,2025-07-23
5751,Tracey Hicks,NULL,2024-03-06
5752,Stephanie Frye,28831.24,2025-04-08
5753,Jason Rodriguez,86190.13,2023-08-23
5754,Cynthia Allen,71644.51,2025-01-13
5755,NULL,14203.14,2024-03-14
5756,Angela Perez,99858.78,2025-01-14
5757,Teresa Brown,76471.84,2024-01-08
5758,NULL,79263.10,2023-10-27
5759,Christopher Butler,57428.07,2025-01-16
5760,Brian Johnson,84803.57,2024-05-16
5761,Jennifer Richardson,51999.87,2025-04-01
5762,Daniel Bradley,99703.06,2023-11-05
5763,April Matthews,67792.85,2024-03-19
5764,Eric Brown,98244.43,2025-01-10
5765,Samuel Gordon,70296.18,2025-07-09
5766,Mark Velasquez,87926.47,2023-09-08
5767,Erin Costa,9518.91,2025-04-16
5768,Stacey Reed,77198.54,2023-08-27
5769,Gabriel Santos,99310.90,2025-03-08
5770,Patricia Rojas,62873.80,2024-04-30
5771,Patricia French PhD,834.81,2024-09-14
5772,Brian Hughes,41851.98,2025-02-05
5773,Matthew Garcia,2701.82,2024-04-17
5774,Ryan Mcknight,61949.16,2024-06-15
5775,Robin Anderson,19766.78,2024-09-05
5776,Donald Jordan,24753.13,2024-09-13
5777,Rachel Martinez,25941.62,2024-08-25
5778,Alexandra Sosa DDS,98101.79,2023-10-13
5779,Ricky Collins,28107.90,NULL
5780,Kevin Hicks,5825.72,2023-08-07
5781,Dr. Crystal Day,22407.95,2023-09-04
5782,Ryan Santiago,43800.56,2023-12-23
5783,Sheila Patterson,7628.19,2024-10-06
5784,Michelle Edwards,NULL,2025-07-13
5785,Meghan Hill,23516.36,2025-05-30
5786,Grant Brewer,88645.11,2025-04-08
5787,Christina Mccarthy,87319.18,2024-08-12
5788,Virginia Morton,94857.40,2023-10-02
5789,Richard Roberts,69745.11,2024-09-22
5790,Jeff Patterson,34600.91,2025-06-23
5791,Erik Henry,66129.86,2025-05-01
5792,Jennifer Johnson,82171.58,2025-04-18
5793,Jennifer Moran,42975.27,2023-12-18
5794,Robert Keller,25565.71,2024-11-06
5795,NULL,6441.65,NULL
5796,David Johnson,42424.66,2024-05-11
5797,Ms. Katherine Lam,90009.84,NULL
5798,Corey Coffey,13134.05,2024-12-05
5799,Dr. Nicole Sanchez,50256.36,2024-02-27
5800,Zachary Baker,94125.88,2024-06-09
5801,Tammy Collins,94764.24,2025-06-24
5802,Joseph Carlson,85574.68,2025-04-04
5803,Jerome Simpson,99349.70,2025-02-20
5804,Justin Young,64622.66,2024-02-12
5805,Brett Cordova,25034.64,2024-12-13
5806,Jason Graham,98699.38,2024-08-23
5807,Cody Rodriguez,89831.66,2024-06-23
5808,Margaret Mosley,84976.79,2023-11-06
5809,Tanya Phillips,9018.44,2025-05-28
5810,Maria Lee,18171.56,NULL
5811,Christopher Villarreal,98393.48,2025-03-07
5812,Gloria Rodgers,31072.32,2023-10-12
5813,Shelley Ramirez,76178.33,2024-12-03
5814,Sandra Smith,3904.28,2024-01-23
5815,Michael Johnston,1666.39,2024-11-21
5816,Nancy Beasley,59355.37,2024-01-06
5817,Amanda Diaz,63740.69,NULL
5818,Brian Hoffman,94580.43,2025-03-08
5819,Jocelyn Peterson,85926.15,NULL
5820,Robin Coleman,41162.48,2025-05-14
5821,Juan Green,46716.55,2025-04-22
5822,Michael Holland,15888.82,2024-07-29
5823,Megan Griffith,46896.16,2023-11-26
5824,Lisa Johnson,52661.14,2025-01-08
5825,Heather Harris,NULL,2024-02-02
5826,Mary Barrett,55742.39,2025-07-27
5827,Joseph Jones,33122.12,2023-11-23
5828,Jill Herrera,22812.37,2024-09-09
5829,Sheena Harris,70641.01,2024-04-11
5830,Kevin Jimenez,38486.69,2023-08-12
5831,Deborah Harris,33801.47,2025-04-10
5832,Lance Foster,90250.95,2024-09-15
5833,Emily Ramos,16230.15,2025-07-11
5834,NULL,43709.24,2024-09-09
5835,Aaron Hancock,81417.66,2024-11-30
5836,John Stewart,11878.27,2024-09-22
5837,Ashley Mitchell,44860.93,2024-12-29
5838,NULL,62726.60,2024-02-14
5839,Kevin Johnson,88376.06,2024-08-13
5840,NULL,50799.02,2024-05-21
5841,Brandon Hobbs II,59622.63,2024-12-31
5842,Sheila Mcdonald,22035.73,2025-02-09
5843,Derrick Goodwin,3130.43,2023-09-22
5844,Emma Allen,6895.97,2025-01-04
5845,Denise Ward,14026.66,NULL
5846,Joseph Perez,8207.81,2024-08-26
5847,Michael Green,70829.80,2024-10-02
5848,Dr. Albert Bell,21624.48,2025-04-01
5849,Sean Williams,71720.99,2024-01-07
5850,Edward Price,55492.03,2023-11-02
5851,NULL,NULL,2025-04-11
5852,NULL,NULL,NULL
5853,Jennifer Woodward,3073.95,2025-03-19
5854,Rose Kidd,93433.28,2025-03-25
5855,Peter Gutierrez,71078.35,2023-10-08
5856,Christina Garcia,NULL,2024-12-10
5857,Michael Daniels,21585.34,2024-06-27
5858,Melissa Cooper,1247.78,2025-03-01
5859,Taylor Hopkins,76171.00,2025-02-15
5860,Douglas Best,73195.72,2025-02-10
5861,Brandy Gallegos,85278.73,2024-09-04
5862,Sara Smith,68175.52,NULL
5863,Zachary Flynn,62485.21,2024-07-29
5864,Charles Wheeler,90757.66,2024-04-24
5865,Bryan Johnson,75837.12,2025-02-17
5866,Jeremy Larson,4662.48,2024-04-07
5867,Bob Hughes,90600.28,2024-01-03
5868,Rebecca Jensen,25077.51,2024-09-07
5869,Dr. Zachary Watts II,NULL,2024-04-07
5870,NULL,35704.61,2024-11-11
5871,Leslie Ramirez,75513.53,2025-06-29
5872,Matthew Shaw,18045.26,2025-07-07
5873,Natasha Brown,7629.97,2024-03-11
5874,Robert Hansen,74080.22,2024-06-12
5875,NULL,65214.04,2025-07-06
5876,Angela Roth,NULL,2024-12-30
5877,Patrick Woods,54169.69,2024-03-25
5878,Curtis Gilbert,34636.36,2025-06-26
5879,Jessica Martin,NULL,2023-09-27
5880,Gina Wolfe MD,76824.23,2023-10-18
5881,Amy Roberts,27443.91,2024-06-29
5882,Nancy Henderson,63878.53,NULL
5883,Michael Dickson,18537.43,2023-08-17
5884,Christopher Cox,71036.47,2023-08-14
5885,William Klein,24873.22,2025-03-04
5886,Kendra Ramirez,NULL,2025-04-06
5887,Elizabeth Brewer,46824.41,2024-01-13
5888,Jesse Myers,48578.65,2025-04-22
5889,Kevin Adams,63790.04,2024-03-02
5890,Christopher Wang,14897.23,2024-06-15
5891,Haley Mann,14395.78,2024-08-18
5892,Natasha Johnson,25255.79,2024-03-19
5893,Bailey Stafford,NULL,2024-05-11
5894,Mary Moore,64315.77,2024-02-05
5895,Dr. Brent Mcdaniel DVM,28864.02,2024-12-31
5896,Michael Hickman,594.21,2024-05-10
5897,Matthew Jones,19523.53,2025-05-21
5898,Matthew Everett,59080.09,2023-10-06
5899,Rachel Fields,24012.19,2025-06-04
5900,Douglas Howard,92365.42,2024-11-22
5901,Paul Macdonald,NULL,2025-03-01
5902,Tara Hampton,72488.92,2025-02-15
5903,NULL,86486.09,NULL
5904,Tracy Villegas,-92.41,2024-07-01
5905,Lee Williams,57883.30,2025-01-19
5906,Steven Owen,40938.41,NULL
5907,Janet Parker,32104.27,2023-08-11
5908,Michelle Hubbard,58246.49,2025-07-04
5909,Jeffrey Santos,53901.92,2024-04-19
5910,Francisco Craig,67231.76,2025-02-19
5911,Nicholas Flores,19940.64,2024-08-30
5912,NULL,68750.95,2025-04-16
5913,Robert Shah,74357.59,2025-04-14
5914,Laura Montgomery,14720.93,2025-05-07
5915,Patricia Moreno,11795.71,2024-05-15
5916,Jill Horn,8472.17,2024-08-13
5917,Amanda Herring,88126.20,2024-02-25
5918,Jacob Munoz,94236.42,2025-05-27
5919,Wanda Kemp,17879.23,2025-02-27
5920,Tammy Webb,93097.56,2025-01-04
5921,Joshua Moore,NULL,2024-06-27
5922,Laura Strickland,11297.65,2024-11-08
5923,Marc Taylor,57953.19,2024-03-04
5924,Ronnie Thompson,22090.90,2025-02-10
5925,Eric Ross,71361.27,2024-03-04
5926,Henry Gonzalez,71771.13,2023-09-05
5927,Patrick Jones,65051.37,2025-02-17
5928,Juan Dunn,19770.90,2024-05-11
5929,Kelsey Donovan,13680.80,2024-01-20
5930,Katherine Kidd,38141.77,NULL
5931,Connor Johnson,43795.90,2025-07-09
5932,Mrs. Jordan Johnson MD,2794.66,NULL
5933,Christopher Gallagher,69605.97,2024-04-10
5934,Kathy Keith,NULL,NULL
5935,Nicole Larson,61125.84,2025-01-05
5936,Chad Bradley,57053.21,NULL
5937,Melissa Young MD,10674.36,2023-10-18
5938,Sydney Stevenson,28118.69,2024-01-05
5939,Kevin Hunter,47668.97,NULL
5940,Sara Ramos,931.62,2024-11-15
5941,Cathy Obrien,NULL,2024-05-15
5942,Jennifer Yoder,90113.80,2024-06-10
5943,Mary Weber,79368.87,2025-02-28
5944,Kathleen Wagner,44976.78,2024-07-07
5945,Tonya Wright,38780.01,2024-03-04
5946,Philip Tucker,50267.11,2023-08-21
5947,Jessica Young,13578.46,2024-10-14
5948,NULL,44319.73,2025-06-22
5949,Catherine Alvarez,28668.96,2024-10-21
5950,Tracy Brown,58193.07,2025-05-18
5951,Philip Woods,96611.72,NULL
5952,Scott Henderson,68177.21,2025-02-15
5953,NULL,19471.41,2023-12-15
5954,Debra Walsh,20056.41,2024-01-28
5955,Crystal Lane,33140.31,2024-01-03
5956,Susan Robinson,72702.40,2024-08-22
5957,Angela Brown,43379.11,2024-06-12
5958,William Bruce,68707.24,2023-11-29
5959,Barbara Griffith,NULL,2024-08-12
5960,Lisa Moore,14628.86,2025-05-27
5961,Christina Thompson,78970.46,2025-04-30
5962,Nicholas Black,40768.49,2024-01-15
5963,Beth Hamilton,53070.92,2024-08-15
5964,Kathleen Wilson,99258.63,2024-08-20
5965,Richard White,7701.02,2024-08-30
5966,Jason Melendez,70904.48,2024-10-21
5967,Susan Choi,NULL,2025-05-16
5968,Larry Mueller,52980.32,2023-09-11
5969,Pamela Thomas,NULL,2023-11-21
5970,Donald Soto,NULL,2025-06-28
5971,Erika Baker,13922.98,2023-10-13
5972,Jordan Coleman,81221.04,2025-03-12
5973,Edward Taylor,57656.59,2024-01-18
5974,Wesley Edwards,38270.95,2024-05-17
5975,Michael Smith,46496.12,2023-09-25
5976,Jodi Guerrero,27829.17,2024-02-11
5977,Veronica Brewer,22553.09,2025-03-30
5978,Jessica Downs,11125.46,2024-03-28
5979,Michelle Clayton,20575.48,2024-04-27
5980,Christopher Campbell,19498.49,2025-05-27
5981,Paul Nixon,92988.53,NULL
5982,Maria Allen MD,75265.94,2024-12-14
5983,Tyler Mccarthy,70196.00,2024-12-18
5984,Tracy Sharp,41943.07,2023-11-22
5985,Karen Gomez,18740.96,2025-03-27
5986,Stacie Fuller DDS,59970.14,2025-01-07
5987,Alejandra Jordan,51096.47,2024-08-22
5988,NULL,93871.24,2025-05-16
5989,Kent Mcdonald,11322.23,2025-04-20
5990,Melissa Schwartz,NULL,2025-05-03
5991,Kristin Lozano,65513.56,2024-12-29
5992,Angela Brown,89442.17,2025-03-03
5993,Zachary Diaz,52650.01,2024-10-12
5994,Katelyn Gilbert,27116.20,2024-12-17
5995,Tonya Brown,81633.47,2024-06-26
5996,Kelly Mason,NULL,NULL
5997,Melanie Roth,22153.87,2025-01-14
5998,Eric Conrad,NULL,NULL
5999,Kenneth Roach,55856.22,2025-07-20
6000,James Fox,10201.36,2024-09-05
6001,NULL,94843.59,2024-03-16
6002,Jacob Campbell,65873.81,2023-08-31
6003,Rachel Williams,94850.60,2025-04-09
6004,Robert York,9298.54,2024-02-17
6005,Robert Adams,NULL,2025-05-30
6006,NULL,53042.82,NULL
6007,Melissa Schneider,85608.57,2025-04-23
6008,Anthony Torres,83119.01,2024-10-30
6009,Jose Morris,46356.49,2024-10-09
6010,William West,41182.46,2023-08-23
6011,Victoria Miller,63780.86,2024-08-05
6012,Eddie Farrell,NULL,2025-06-14
6013,John Kelly,30748.57,2024-10-30
6014,Amber Frey,87336.21,2024-05-06
6015,Matthew Becker,81489.56,2024-02-18
6016,Todd Sweeney,13369.73,2024-01-03
6017,Adam Roberts,25104.15,2025-02-07
6018,Sara Dunn,88214.14,2023-12-16
6019,Madison Young,91977.90,NULL
6020,Sheri Haynes,NULL,2023-10-05
6021,Lawrence Reid,25899.56,2025-05-23
6022,Erik Edwards,86474.22,2024-01-27
6023,Jose Walker,4717.75,NULL
6024,Karina Randolph,46109.38,2024-04-11
6025,Amanda Wong,22926.09,2024-04-30
6026,Willie Yu,96764.58,2025-04-16
6027,Shane Sullivan,49984.94,2025-04-22
6028,Timothy Thompson,NULL,2024-08-03
6029,Ashley Rodriguez,NULL,NULL
6030,David Mcpherson,82116.40,NULL
6031,Michelle Vargas,69964.82,2023-12-03
6032,Charles Rodriguez,NULL,2025-01-26
6033,Scott Burton,97059.46,2025-01-13
6034,Michael Robinson,70146.01,NULL
6035,Wesley Fox,48011.06,2025-07-09
6036,Jacob Oliver,89639.41,2023-10-03
6037,John Elliott,18249.32,2025-07-19
6038,Lauren Park,34944.00,2024-05-27
6039,Joanne Stone,84060.30,2025-01-29
6040,NULL,NULL,2025-03-31
6041,Lauren Sanchez,52929.87,2024-12-15
6042,Jason Hoffman,29126.27,2024-09-07
6043,Travis Powell,NULL,2025-06-28
6044,George Benjamin,26951.38,2023-09-09
6045,Jasmine Craig,38580.89,NULL
6046,Roy Herrera,33947.39,2023-10-13
6047,Kenneth Gates,55813.87,2025-01-25
6048,Maurice Flowers,7193.50,2024-03-23
6049,Cameron Jensen,30688.40,NULL
6050,Jeremiah Turner,81418.61,2023-09-19
6051,Marcus Higgins,NULL,NULL
6052,Andrew Roberts,67556.86,NULL
6053,Justin Roberts,NULL,2023-10-23
6054,Pamela Liu,44418.93,2024-05-31
6055,Gary Saunders,NULL,2024-08-29
6056,Dale Martinez,81116.02,2024-01-23
6057,Jessica Morales,NULL,2023-09-05
6058,Richard Park,93633.84,2025-05-26
6059,Laura Berry,87408.06,2024-01-08
6060,Casey Sellers,48390.36,2023-10-05
6061,Adam Mcguire,36493.40,2024-12-01
6062,Mrs. Kathryn Howe,43278.99,2025-03-16
6063,Bridget Shaffer,44946.96,2025-02-26
6064,Ana Thomas,58144.00,2024-10-01
6065,James Webb,88054.77,2024-05-25
6066,Jacob Fisher,66531.90,2023-11-11
6067,Rebecca Moreno,1962.01,2024-09-20
6068,Jeffrey Rodriguez,74715.66,2023-10-02
6069,John Foster,50652.18,2023-09-04
6070,Pamela Marshall,30056.24,2025-03-19
6071,Nicole Vasquez,11731.94,2024-04-03
6072,Joseph Martinez,56095.28,NULL
6073,Melinda Michael,63206.79,2025-07-28
6074,Chris Gonzalez,54151.11,2025-07-13
6075,Benjamin Hall,20579.50,2025-05-15
6076,Melinda King,3170.54,NULL
6077,Angela Oneal,3978.19,NULL
6078,Nicholas Brown,42082.29,2024-07-23
6079,Nicole Gutierrez,69411.41,2024-08-15
6080,Sara Conrad,17977.50,NULL
6081,Kelly Roth,88104.78,NULL
6082,Joshua Turner,64159.12,NULL
6083,Brian Ferguson,39041.09,2023-10-06
6084,Robin Hall,84658.90,2024-04-23
6085,David Lewis,98983.03,2025-02-05
6086,NULL,55194.00,2024-07-30
6087,Eric Holder,91581.50,2025-03-02
6088,Crystal Jones,71411.51,NULL
6089,Peter Wilkerson,42985.50,2024-12-30
6090,Heidi Robertson,45254.26,2024-03-15
6091,Taylor Ward,90037.61,2025-06-23
6092,Dale Cruz,5824.48,2025-07-20
6093,Roger Lopez,34713.28,2024-01-31
6094,Scott Crawford,37535.10,2024-12-03
6095,Andrew Harding,16320.27,NULL
6096,Kristin Flores,44437.84,2024-12-17
6097,Shannon Munoz,46052.34,2025-06-28
6098,Sheila Hayes,76766.78,2025-02-06
6099,Samantha Ball,82888.46,NULL
6100,Douglas Lee,NULL,2024-03-10
6101,Jacob Proctor,36199.30,2025-05-13
6102,Darlene Murphy,66977.79,2025-02-18
6103,Paul Smith,88033.94,2024-05-01
6104,Brendan Salinas,NULL,2024-08-16
6105,James Phillips,59218.51,2025-06-11
6106,Keith Baker,58208.47,2024-07-10
6107,Joseph Young,NULL,2025-03-30
6108,Thomas Baird Jr.,10815.71,NULL
6109,Carrie James,55524.28,2025-07-17
6110,Daniel Leon,32987.53,2024-11-29
6111,Lori Griffin,28204.42,2024-05-18
6112,Timothy Shah,3557.84,2024-10-15
6113,Clifford Thomas,58660.18,2025-06-26
6114,Jared Kim PhD,91248.11,2024-10-07
6115,Rebecca Costa,NULL,2024-10-25
6116,Monica Fuentes,54209.22,2024-10-12
6117,Linda Sloan,34597.97,2024-12-16
6118,NULL,6762.35,NULL
6119,Samuel Villarreal,66234.41,2024-12-14
6120,Donald Jones,60439.31,2025-01-02
6121,Megan Brown,45040.38,2025-04-15
6122,Aaron Mack,NULL,2025-06-09
6123,Tony Gray,91302.83,2024-02-17
6124,Andrea Hodges,59134.84,NULL
6125,NULL,97914.51,2023-11-02
6126,Karen Bowman,3517.72,NULL
6127,Lisa Ross,19795.47,2024-02-20
6128,Brooke Hughes,58647.60,2024-05-03
6129,Samantha Martin,24417.65,2023-08-12
6130,Cory Baldwin,NULL,2024-05-12
6131,Michael Allen,91655.55,2025-02-01
6132,Amy Miller,7035.74,2025-02-08
6133,Cynthia Mays,41045.71,NULL
6134,Tiffany Page,71625.63,2025-06-27
6135,Kimberly Martin,13595.68,2023-10-02
6136,Melissa Moore,85633.99,2025-07-05
6137,Kenneth Kirk,91370.14,2024-12-09
6138,Nancy Hoffman,NULL,NULL
6139,Christopher Lloyd,54809.28,NULL
6140,Dennis Morales,34860.08,2025-03-12
6141,Chad Hines,24246.87,2024-12-29
6142,Brianna Brown,71995.69,2023-11-29
6143,Jonathan Jones,36817.14,2023-12-16
6144,Todd Garza,41330.85,2024-06-17
6145,Juan Mendez,35169.71,2024-01-02
6146,Bonnie Richardson,35497.77,2024-02-15
6147,Nicholas Sanchez,592.05,NULL
6148,Caitlyn Harris,14799.72,2023-11-11
6149,NULL,93825.89,2023-12-06
6150,Kimberly Acosta,42364.89,NULL
6151,Isabella King,71975.69,2024-01-30
6152,Thomas Clark,47405.22,2025-05-31
6153,Jennifer Trevino,NULL,2024-04-01
6154,Christopher Perez,58098.38,2025-03-09
6155,Penny Rowe,27983.84,2023-08-22
6156,Jenny Ross,NULL,NULL
6157,Steven Evans,20699.18,2024-10-14
6158,Lucas Armstrong,43751.19,2024-10-21
6159,Nicole Myers,5221.36,NULL
6160,Tiffany Walls,71152.84,2024-05-22
6161,John Nichols,16576.60,2024-01-24
6162,Wayne Mcclain,75197.18,2025-07-28
6163,Vincent Harper,15156.59,2025-01-01
6164,David Moss,13691.56,2025-05-01
6165,Michelle Simpson,67101.68,2023-11-05
6166,Holly Stewart,56021.81,2024-01-17
6167,Jamie Zimmerman,44944.22,2024-05-07
6168,Emily Sullivan,39492.43,2025-01-10
6169,NULL,74884.84,2024-02-06
6170,Cassandra Thomas,9813.37,NULL
6171,Kimberly Gomez,79939.84,2024-04-23
6172,Dorothy Wilson,81722.67,2025-02-20
